timestamp,tracking_id,product_title,seller_name,price,quantity_left,product_url,num_screenshots,field_sources
2026-05-25 13:53:03,Sonos Sub 4 Wireless Subwoofer - best paired with Sonos Arc & Beam | Sonos official store,Sonos Sub 4 Wireless Subwoofer - best paired with Sonos Arc & Beam,Sonos official store,"RM4,598.90",32.0,https://shopee.com.my/Sonos-Sub-4-Wireless-Subwoofer-best-paired-with-Sonos-Arc-Beam-i.223592218.27622934770?extraParams=%7B%22display_model_id%22%3A227250174712%2C%22model_selection_logic%22%3A3%7D,1,"title=AI, price=AI, seller=AI, stock=AI"
2026-05-25 13:56:30,"UGREEN Automatic Magnetic USB-C to USB-C Cable 480Mbps Max, 20V/5A Max, Supports PD... | Ugreen Flagship Store","UGREEN Automatic Magnetic USB-C to USB-C Cable 480Mbps Max, 20V/5A Max, Supports PD...",Ugreen Flagship Store,RM25.70,,https://my.shp.ee/SR71zDMh,1,"title=AI, price=AI, seller=Manual, stock=fallback"
2026-05-25 14:00:17,"ASUS PROART PA279CRV 27"" PROFESSIONAL MONITOR ( 27"" IPS UHD / 5MS / 60HZ / HD MI + DP + TYPE-C ) | ASUS Official Store","ASUS PROART PA279CRV 27"" PROFESSIONAL MONITOR ( 27"" IPS UHD / 5MS / 60HZ / HD MI + DP + TYPE-C )",ASUS Official Store,"RM2,299.00",18.0,,1,"title=AI, price=AI, seller=AI, stock=AI"
